Name,BattingAVG,EconomyRate,BattingS/R,BowlingAVG
Mayank Agarwal,34.41,,135.47,
Liam Livingstone,14,13,125.84,
Kagiso Rabada,13.8,8.21,52.98,20.52
Shahrukh Khan,32.85,,134.21,
Shikhar Dhawan,34.84,8.25,146.64,16.5
Jonny Bairstow,41.52,,142.19,
Odean Smith,,,,
Rahul Chahar,4.42,7.44,76.87,25.97
Arshdeep Singh,2,8.78,33.33,22.3
Harpreet Brar,,7.12,120,45.6
Vaibhav Arora,,,,
Raj Bawa,,,,
Nathan Ellis,18,8.18,112.5,90
Prabhsimran Singh,10,,90.9,
Rishi Dhawan,21.85,7.86,85.33,35.55
Bhanuka Rajapaksa,,,,
Sandeep Sharma,8.66,7.77,67.25,25.43
Benny Howell,,,,
Ishan Porel,,9.75,0,39
Prerak Mankad,,,,
Atharva Taide,,,,
Ansh Patel,,,,
Jitesh Sharma,,,,
Writtick Chatterjee,,,,
Baltej Singh,,,,
Kane Williamson,40.1,12.33,131.26,
Nicholas Pooran,29.44,,154.98,
Washington Sundar,13.56,6.93,111.28,32.11
Rahul Tripathi,26.13,12,136.31,
Romario Shepherd,,,,
Abhishek Sharma,17.21,8,139.3,25.14
Bhuvneshwar Kumar,8.34,7.3,66.87,25.26
Marco Jansen,0,7.5,0,22.5
Umran Malik,,8,0,48
Abdul Samad,15.85,13.12,146.05,52.5
T Natarajan,,8.23,60,34.4
Kartik Tyagi,3,9.41,60,37.76
Aiden Markram,29.2,5.75,122.68,
Sean Abbott,7.5,11.4,115.38,
Glenn Phillips,13,10,78.78,20
Shreyas Gopal,12.21,8.03,105.55,25.97
Fazalhaq Farooqi,,,,
Vishnu Vinod,6.33,,73.07,
Priyam Garg,14.64,,110.81,
Saurabh Dubey,,,,
Jagadeesha Suchith,34,8.88,128.3,38.5
Shashank Singh,,,,
Ravikumar Samarth,,,,
Sanju Samson,32.21,,134.2,
Prasidh Krishna,1.5,9.26,25,38.4
Jos Buttler,35.14,,150,
Shimron Hetmyer,35.85,,151.17,
Trent Boult,5.5,9.14,66.66,51.2
Devdutt Padikkal,31.57,,125.03,
Yuzvendra Chahal,5.33,7.59,41.02,22.28
Ravichandran Ashwin,11.12,6.91,109.88,27.8
Yashasvi Jaiswal,32.23,,136.32,
Riyan Parag,16.95,9.96,118.53,73.66
Navdeep Saini,10.33,8.47,78.57,32.7
Nathan Coulter-Nile,7.36,7.52,115.71,21.91
James Neesham,8.71,9.24,92.42,38.12
Karun Nair,24.26,,128.36,
Rassie van der Dussen,,,,
Obed McCoy,,,,
Daryl Mitchell,,,,
KC Cariappa,8,9.66,114.28,43.5
Tejas Baroka,,9.42,0,
